m67,Messier 67,NGC 2682,–,Open cluster,8h51m18.0s,+11d49m0s,6.9,2.77,Cancer,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Messier_object_067.jpg/500px-Messier_object_067.jpg
m68,Messier 68,NGC 4590,–,Globular cluster,12h39m28.0s,-26d44m32s,7.3,33.6,Hydra,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Messier_object_068.jpg/500px-Messier_object_068.jpg
m69,Messier 69,NGC 6637,–,Globular cluster,18h31m23.2s,-32d20m51s,8.3,29.7,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Messier_object_069.jpg/500px-Messier_object_069.jpg
m70,Messier 70,NGC 6681,–,Globular cluster,18h43m12.7s,-32d17m29s,7.8,29.4,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Messier70.jpg/500px-Messier70.jpg
m71,Messier 71,NGC 6838,–,Globular cluster,19h53m46.1s,+18d46m44s,8.4,13.0,Sagitta,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8c/Messier71.jpg/500px-Messier71.jpg
m72,Messier 72,NGC 6981,–,Globular cluster,20h53m27.9s,-12d32m11s,9.2,54.57,Aquarius,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Messier72.jpg/500px-Messier72.jpg
m73,Messier 73,NGC 6994,–,Asterism,20h58m56.0s,-12d38m0s,8.9,2.5,Aquarius,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Messier_073_2MASS.jpg/500px-Messier_073_2MASS.jpg
m74,Messier 74,NGC 628,Phantom Galaxy,Galaxy,1h36m41.7s,+15d47m0s,9.4,30000.0,Pisces,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Messier_74_by_HST.jpg/500px-Messier_74_by_HST.jpg
m75,Messier 75,NGC 6864,–,Globular cluster,20h6m4.8s,-21d55m15s,8.6,67.5,Sagittarius,https://upload.wikimedia.org/wikipedia/commons/thumb/5/53/Messier75.jpg/500px-Messier75.jpg
m76,Messier 76,NGC 650 NGC 651,Little Dumbbell Nebula,Planetary nebula,1h42m18.1s,+51d34m17s,10.1,2.5,Perseus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/M76-RL5-DDmin-Gamma-LRGB_883x628.jpg/500px-M76-RL5-DDmin-Gamma-LRGB_883x628.jpg
m77,Messier 77,NGC 1068,Cetus A,Galaxy,2h42m40.8s,-0d0m46s,8.9,47000.0,Cetus,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/M77_Galaxy_from_the_Mount_Lemmon_SkyCenter_Schulman_Telescope_courtesy_Adam_Block.jpg/500px-M77_Galaxy_from_the_Mount_Lemmon_SkyCenter_Schulman_Telescope_courtesy_Adam_Block.jpg
m78,Messier 78,NGC 2068,–,Diffuse nebula,5h46m45.0s,+0d4m48s,8.0,1.6,Orion,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/Messier_78.jpg/500px-Messier_78.jpg
m79,Messier 79,NGC 1904,–,Globular cluster,5h24m10.6s,-24d31m25s,7.7,41.0,Lepus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/M79a.jpg/500px-M79a.jpg
m80,Messier 80,NGC 6093,–,Globular cluster,16h17m2.5s,-22d58m28s,7.3,32.6,Scorpius,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/A_Swarm_of_Ancient_Stars_-_GPN-2000-000930.jpg/500px-A_Swarm_of_Ancient_Stars_-_GPN-2000-000930.jpg
m81,Messier 81,NGC 3031,Bode's Galaxy,Galaxy,9h55m33.5s,+69d4m2s,6.9,11800.0,Ursa Major,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Messier_81_HST.jpg/500px-Messier_81_HST.jpg
m82,Messier 82,NGC 3034,Cigar Galaxy,Galaxy,9h55m54.0s,+69d40m59s,8.4,11500.0,Ursa Major,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/JPEG_M82_Cigar_Galaxyjn.jpg/500px-JPEG_M82_Cigar_Galaxyjn.jpg
m83,Messier 83,NGC 5236,Southern Pinwheel Galaxy,Galaxy,13h37m0.2s,-29d52m2s,7.5,14700.0,Hydra,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/M83_-_Southern_Pinwheel.jpg/500px-M83_-_Southern_Pinwheel.jpg
m84,Messier 84,NGC 4374,–,Galaxy,12h25m3.6s,+12d53m13s,9.1,60000.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Messier_84_nucleus_Hubble.jpg/500px-Messier_84_nucleus_Hubble.jpg
m85,Messier 85,NGC 4382,–,Galaxy,12h25m23.9s,+18d11m27s,9.1,60000.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Messier_85_Hubble_WikiSky.jpg/500px-Messier_85_Hubble_WikiSky.jpg
m86,Messier 86,NGC 4406,–,Galaxy,12h26m11.5s,+12d56m47s,8.9,52000.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Messier_86_Hubble_WikiSky.jpg/500px-Messier_86_Hubble_WikiSky.jpg
m87,Messier 87,NGC 4486,Virgo A,Galaxy,12h30m49.4s,+12d23m26s,8.6,53500.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Messier_87_Hubble_WikiSky.jpg/500px-Messier_87_Hubble_WikiSky.jpg
m88,Messier 88,NGC 4501,–,Galaxy,12h31m59.0s,+14d25m11s,9.6,47500.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/M88s.jpg/500px-M88s.jpg
m89,Messier 89,NGC 4552,–,Galaxy,12h35m39.9s,+12d33m22s,9.8,50000.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Messier89_-_HST_-_Potw1902a.tif/lossy-page1-500px-Messier89_-_HST_-_Potw1902a.tif.jpg
m90,Messier 90,NGC 4569,–,Galaxy,12h36m50.0s,+13d9m50s,9.5,58700.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Messier90_-_SDSS_DR14_%28panorama%29.jpg/500px-Messier90_-_SDSS_DR14_%28panorama%29.jpg
m91,Messier 91,NGC 4548,–,Galaxy,12h35m26.4s,+14d29m47s,10.2,63000.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/M91s.jpg/500px-M91s.jpg
m92,Messier 92,NGC 6341,–,Globular cluster,17h17m7.3s,+43d8m13s,6.5,26.7,Hercules,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/M92_Hubble_WikiSky.jpg/200px-M92_Hubble_WikiSky.jpg
m93,Messier 93,NGC 2447,–,Open cluster,7h44m30.0s,-23d51m24s,6.2,3.6,Puppis,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Messier_object_093.jpg/500px-Messier_object_093.jpg
m94,Messier 94,NGC 4736,Croc's Eye or Cat's Eye,Galaxy,12h50m53.1s,+41d7m17s,8.2,16000.0,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Messier_94.jpg/500px-Messier_94.jpg
m95,Messier 95,NGC 3351,–,Galaxy,10h43m57.8s,+11d42m12s,9.7,32600.0,Leo,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/The_VLT_goes_lion_hunting.jpg/500px-The_VLT_goes_lion_hunting.jpg
m96,Messier 96,NGC 3368,–,Galaxy,10h46m45.8s,+11d49m12s,9.3,31000.0,Leo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/NGC_3368_ESO.jpg/500px-NGC_3368_ESO.jpg
m97,Messier 97,NGC 3587,Owl Nebula,Planetary nebula,11h14m47.7s,+55d1m10s,9.9,2.03,Ursa Major,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/M97-stargazer-obs.jpg/500px-M97-stargazer-obs.jpg
m98,Messier 98,NGC 4192,–,Galaxy,12h13m47.8s,+14d53m58s,10.1,44400.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/M-98.jpg/500px-M-98.jpg
m99,Messier 99,NGC 4254,–,Galaxy,12h18m49.3s,+14d25m3s,9.9,50200.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/M99.jpg/500px-M99.jpg
m100,Messier 100,NGC 4321,–,Galaxy,12h22m54.9s,+15d49m22s,9.4,55000.0,Coma Berenices,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Messier_100_and_Supernova_SN_2006X.jpg/500px-Messier_100_and_Supernova_SN_2006X.jpg
m101,Messier 101,NGC 5457,Pinwheel Galaxy,Galaxy,14h3m12.4s,+54d20m58s,7.9,20750.0,Ursa Major,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/M101_hires_STScI-PRC2006-10a.jpg/500px-M101_hires_STScI-PRC2006-10a.jpg
m102,Messier 102,NGC 5866,Spindle Galaxy,Galaxy,15h6m29.4s,+55d45m49s,9.9,50000.0,Draco,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Ngc5866_hst_big.png/200px-Ngc5866_hst_big.png
m103,Messier 103,NGC 581,–,Open cluster,1h33m23.0s,+60d39m30s,7.4,10.0,Cassiopeia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Messier_object_103.jpg/500px-Messier_object_103.jpg
m104,Messier 104,NGC 4594,Sombrero Galaxy,Galaxy,12h39m59.3s,-11d37m21s,8.0,29800.0,Virgo,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/M104_ngc4594_sombrero_galaxy_hi-res.jpg/500px-M104_ngc4594_sombrero_galaxy_hi-res.jpg
m105,Messier 105,NGC 3379,–,Galaxy,10h47m49.5s,+12d34m52s,9.3,32000.0,Leo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Messier105_-_HST_-_Potw1901a.jpg/500px-Messier105_-_HST_-_Potw1901a.jpg
m106,Messier 106,NGC 4258,–,Galaxy,12h18m57.8s,+47d18m25s,8.4,23700.0,Canes Venatici,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/M106_-_Messier_106_Galaxy.jpg/500px-M106_-_Messier_106_Galaxy.jpg
m107,Messier 107,NGC 6171,–,Globular cluster,16h32m31.9s,-13d3m11s,7.8,20.9,Ophiuchus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a9/Messier_object_107.jpg/500px-Messier_object_107.jpg
m108,Messier 108,NGC 3556,–,Galaxy,11h11m29.4s,+55d40m22s,10.0,46000.0,Ursa Major,https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Messier108_-_SDSS_DR_14_%28panorama%29.jpg/500px-Messier108_-_SDSS_DR_14_%28panorama%29.jpg
m109,Messier 109,NGC 3992,–,Galaxy,11h57m35.4s,+53d22m25s,9.8,83500.0,Ursa Major,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Messier109_-_SDSS_DR14_%28panorama%29.jpg/500px-Messier109_-_SDSS_DR14_%28panorama%29.jpg
m110,Messier 110,NGC 205,–,Galaxy,0h40m22.1s,+41d41m7s,8.1,2690.0,Andromeda,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Messier_object_110.jpg/500px-Messier_object_110.jpg
