HATS-48 A b,19h14m41.28s,-59d34m45.66s,14.226,3.131667,2.3458,1.321283,08/19/2021 16:03
HATS-49 b,00h26m27.26s,-56d20m39.41s,14.988,4.148047,2.346,1.269569,08/22/2021 07:28
HATS-5 b,04h28m53.48s,-21d28m55.40s,12.598,4.763387,2.9856,1.157775,08/19/2021 16:57
HATS-50 b,20h01m42.74s,-26d04m39.23s,14.045,3.829702,3.0792,1.080741,08/18/2021 10:00
HATS-51 b,06h51m23.38s,-29d03m31.16s,12.525,3.34887,3.3216,1.012475,08/19/2021 23:50
HATS-52 b,09h20m21.02s,-31d16m09.16s,13.844,1.366654,2.0904,1.843417,08/18/2021 12:59
HATS-53 b,11h46m30.80s,-33d51m36.28s,13.944,3.853777,3.5064,1.564249,08/22/2021 07:47
HATS-54 b,13h22m32.37s,-44d41m19.82s,13.937,2.544183,2.5008,0.693152,08/19/2021 22:49
HATS-55 b,07h37m08.01s,-32d45m19.51s,13.525,4.2042,2.7838,1.303493,08/21/2021 11:07
HATS-56 b,12h00m39.62s,-45d47m58.04s,11.477,4.324799,4.6416,0.62112,08/22/2021 05:25
HATS-57 b,04h03m47.59s,-19d03m24.55s,12.333,2.350621,2.4886,1.486537,08/18/2021 14:04
HATS-58 A b,12h27m08.95s,-48d58m42.28s,11.572,4.21809,3.18,0.616605,08/19/2021 07:15
HATS-59 b,11h21m17.84s,-22d23m17.44s,14.033,5.416081,3.5928,1.247464,08/21/2021 08:38
HATS-60 b,22h45m27.37s,-14d59m30.39s,12.662,3.560829,3.8592,0.658603,08/20/2021 16:15
HATS-61 b,04h06m37.87s,-25d20m58.80s,13.352,7.817953,5.5296,0.544628,08/21/2021 05:40
HATS-62 b,20h49m47.83s,-24d18m12.62s,14.171,3.276884,2.7653,1.350245,08/18/2021 21:25
HATS-63 b,04h29m40.46s,-28d11m49.97s,13.992,3.056653,2.448,1.343748,08/18/2021 12:33
HATS-64 b,09h37m09.03s,-29d48m01.60s,13.045,4.908897,5.8056,0.666766,08/22/2021 03:59
HATS-65 b,19h31m45.55s,-26d44m24.73s,12.679,3.105161,2.8848,1.386404,08/19/2021 15:52
HATS-66 b,06h45m34.75s,-33d52m54.09s,14.283,3.141439,4.5432,0.620322,08/20/2021 13:50
HATS-67 b,12h00m50.11s,-46d08m11.11s,13.698,1.609179,1.9464,1.443919,08/19/2021 18:57
HATS-68 b,01h00m01.46s,-58d54m17.01s,12.312,3.58622,3.42,0.524577,08/20/2021 21:10
