c62,Caldwell 62,NGC 247,-,Galaxy,00h47m6.0s,-20d46m00s,8.9,6800,Cetus,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Wide_Field_Imager_view_of_the_spiral_galaxy_NGC_247.jpg/500px-Wide_Field_Imager_view_of_the_spiral_galaxy_NGC_247.jpg
c63,Caldwell 63,NGC 7293,Helix Nebula,Planetary nebula,22h29m36.0s,-20d48m00s,7.3,0.522,Aquarius,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/NGC1097_-_ESO_-_eso0438d.jpg/500px-NGC1097_-_ESO_-_eso0438d.jpg
c64,Caldwell 64,NGC 2362,Tau Canis Majoris Cluster,Open cluster,07h18m48.0s,-24d57m00s,4.1,5.1,Canis Major,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/NGC_6729.jpg/500px-NGC_6729.jpg
c65,Caldwell 65,NGC 253,Sculptor Galaxy,Galaxy,00h47m36.0s,-25d17m00s,7.1,9800,Sculptor,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/NGC_6302_Hubble_2009.full.jpg/500px-NGC_6302_Hubble_2009.full.jpg
c66,Caldwell 66,NGC 5694,-,Globular cluster,14h39m36.0s,-26d32m00s,10.2,113,Hydra,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/View_of_the_southern_spiral_NGC_300.jpg/500px-View_of_the_southern_spiral_NGC_300.jpg
c67,Caldwell 67,NGC 1097,-,Galaxy,02h46m18.0s,-30d17m00s,9.3,47000,Fornax,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/NGC2477.jpg/500px-NGC2477.jpg
c68,Caldwell 68,NGC 6729,R CrA Nebula,Emission nebula,19h01m54.0s,-36d57m00s,9.5,0.424,Corona Australis,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Irregular_Galaxy_NGC_55_%28ESO_0914a%29.jpg/500px-Irregular_Galaxy_NGC_55_%28ESO_0914a%29.jpg
c69,Caldwell 69,NGC 6302,Bug Nebula,Planetary nebula,17h13m42.0s,-37d06m00s,13,5.2,Scorpius,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/PIA07908.jpg/500px-PIA07908.jpg
c70,Caldwell 70,NGC 300,-,Galaxy,00h54m54.0s,-37d41m00s,9,3900,Sculptor,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/NGC_3132.jpg/500px-NGC_3132.jpg
c71,Caldwell 71,NGC 2477,-,Open cluster,07h52m18.0s,-38d33m00s,5.8,3.7,Puppis,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/NGC_6124_large.png/500px-NGC_6124_large.png
c72,Caldwell 72,NGC 55,-,Galaxy,00h14m54.0s,-39d11m00s,8,4200,Sculptor,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/NGC6231_Chandra.jpg/500px-NGC6231_Chandra.jpg
c73,Caldwell 73,NGC 1851,-,Globular cluster,05h14m6.0s,-40d03m00s,7.3,39.4,Columba,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/NGC_5128_galaxy.jpg/500px-NGC_5128_galaxy.jpg
c74,Caldwell 74,NGC 3132,Eight Burst Nebula,Planetary nebula,10h07m42.0s,-40d26m00s,8,2,Vela,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/NGC_6541_hst_12516_R814G555B390.png/500px-NGC_6541_hst_12516_R814G555B390.png
c75,Caldwell 75,NGC 6124,-,Open cluster,16h25m36.0s,-40d40m00s,5.8,1.5,Scorpius,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/NGC_3201.jpg/500px-NGC_3201.jpg
c76,Caldwell 76,NGC 6231,-,Open cluster,16h54m0.0s,-41d48m00s,2.6,6,Scorpius,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Omega_Centauri_by_ESO.jpg/500px-Omega_Centauri_by_ESO.jpg
c77,Caldwell 77,NGC 5128,Centaurus A,Galaxy,13h25m30.0s,-43d01m00s,7,16000,Centaurus,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/NGC_6352.jpg/500px-NGC_6352.jpg
c78,Caldwell 78,NGC 6541,-,Globular cluster,18h08m0.0s,-43d42m00s,6.6,22.3,Corona Australis,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Rgb-ngc6193.jpg/500px-Rgb-ngc6193.jpg
c79,Caldwell 79,NGC 3201,-,Globular cluster,10h17m36.0s,-46d25m00s,6.8,17,Vela,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Spiral_Galaxy_NGC_4945.jpg/500px-Spiral_Galaxy_NGC_4945.jpg
c80,Caldwell 80,NGC 5139,Omega Centauri,Globular cluster,13h26m48.0s,-47d29m00s,3.7,17.3,Centaurus,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/NGC_5286_hlsp_acsggct_hst_acs-wfc_R606_hst_13297_B336.png/500px-NGC_5286_hlsp_acsggct_hst_acs-wfc_R606_hst_13297_B336.png
c81,Caldwell 81,NGC 6352,-,Globular cluster,17h25m30.0s,-48d25m00s,8.2,18.6,Ara,https://upload.wikimedia.org/wikipedia/commons/thumb/6/62/IC_2391_in_Vele.jpg/500px-IC_2391_in_Vele.jpg
c82,Caldwell 82,NGC 6193,-,Open cluster,16h41m18.0s,-48d46m00s,5.2,4.3,Ara,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/NGC_6397_%28ESO%29.jpg/500px-NGC_6397_%28ESO%29.jpg
c83,Caldwell 83,NGC 4945,-,Galaxy,13h05m24.0s,-49d28m00s,9,17000,Centaurus,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Ngc_1261.jpg/500px-Ngc_1261.jpg
c84,Caldwell 84,NGC 5286,-,Globular cluster,13h46m24.0s,-51d22m00s,7.6,36,Centaurus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/NGC_5823.png/500px-NGC_5823.png
c85,Caldwell 85,IC 2391,Omicron Velorum Cluster,Open cluster,08h40m12.0s,-53d04m00s,2.5,0.5,Vela,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/NGC_6087_full.png/500px-NGC_6087_full.png
c86,Caldwell 86,NGC 6397,-,Globular cluster,17h40m42.0s,-53d40m00s,5.7,7.5,Ara,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/NGC_2867HST.jpg/500px-NGC_2867HST.jpg
c87,Caldwell 87,NGC 1261,-,Globular cluster,03h12m18.0s,-55d13m00s,8.4,55.5,Horologium,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Eso1439a.jpg/500px-Eso1439a.jpg
c88,Caldwell 88,NGC 5823,-,Open cluster,15h05m42.0s,-55d36m00s,7.9,3.4,Circinus,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ea/Carina_Nebula.jpg/500px-Carina_Nebula.jpg
c89,Caldwell 89,NGC 6087,S Normae Cluster,Open cluster,16h18m54.0s,-57d54m00s,5.4,3.3,Norma,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Star_cluster_NGC_6752.jpg/500px-Star_cluster_NGC_6752.jpg
c90,Caldwell 90,NGC 2867,-,Planetary nebula,09h21m24.0s,-58d19m00s,10,5.5,Carina,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/A_Snapshot_of_the_Jewel_Box_cluster_with_the_ESO_VLT.jpg/500px-A_Snapshot_of_the_Jewel_Box_cluster_with_the_ESO_VLT.jpg
c91,Caldwell 91,NGC 3532,Wishing Well Cluster,Open cluster,11h06m24.0s,-58d40m00s,3,1.6,Carina,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/NGC_6025.jpg/500px-NGC_6025.jpg
c92,Caldwell 92,NGC 3372,Eta Carinae Nebula,Emission nebula,10h43m48.0s,-59d52m00s,3,7.5,Carina,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/NGC_2516.jpg/500px-NGC_2516.jpg
c93,Caldwell 93,NGC 6752,Great Peacock Globular,Globular cluster,19h10m54.0s,-59d59m00s,5.4,13,Pavo,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Star_cluster_NGC_3766.jpg/500px-Star_cluster_NGC_3766.jpg
c94,Caldwell 94,NGC 4755,Jewel Box,Open cluster,12h53m36.0s,-60d20m00s,4.2,4.9,Crux,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/NGC_4609_large.png/500px-NGC_4609_large.png
c95,Caldwell 95,NGC 6025,-,Open cluster,16h03m42.0s,-60d30m00s,5.1,2.5,Triangulum Australe,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Coalsack-ESO-B06.jpg/500px-Coalsack-ESO-B06.jpg
c96,Caldwell 96,NGC 2516,Southern Beehive Cluster,Open cluster,07h58m18.0s,-60d52m00s,3.8,1.3,Carina,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/The_Very_Large_Telescope_Snaps_a_Stellar_Nursery_and_Celebrates_Fifteen_Years_of_Operations.jpg/500px-The_Very_Large_Telescope_Snaps_a_Stellar_Nursery_and_Celebrates_Fifteen_Years_of_Operations.jpg
c97,Caldwell 97,NGC 3766,Pearl Cluster,Open cluster,11h36m6.0s,-61d37m00s,5.3,5.8,Centaurus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Wide_Field_Imager_view_of_a_Milky_Way_look-alike_NGC_6744.jpg/500px-Wide_Field_Imager_view_of_a_Milky_Way_look-alike_NGC_6744.jpg
c98,Caldwell 98,NGC 4609,-,Open cluster,12h42m18.0s,-62d58m00s,6.9,4.2,Crux,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/The_Southern_Pleiades_%28IC_2602%29.jpg/500px-The_Southern_Pleiades_%28IC_2602%29.jpg
c99,Caldwell 99,-,Coalsack Nebula,Dark nebula,12h53m0.0s,-63d00m00s,0,0.61,Crux,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Tarantula_Nebula_TRAPPIST.jpg/500px-Tarantula_Nebula_TRAPPIST.jpg
c100,Caldwell 100,IC 2944,Lambda Centauri Nebula,Open cluster,11h36m36.0s,-63d02m00s,4.5,6,Centaurus,https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/GALEX_image_of_NGC_362.jpg/500px-GALEX_image_of_NGC_362.jpg
